AsSOC,current,diffTime
11474.2,-9.95135,18.281
11357.5,-6.37869,18.297
11204.8,-8.38418,18.203
11379.5,9.55117,18.281
11510.9,7.20049,18.25
11626.5,6.34856,18.219
11594.8,-1.74479,18.172
11628.6,1.83691,18.375
11799.6,9.41112,18.172
11840.8,2.26386,18.218
11904.3,3.50056,18.125
11819.7,-4.6121,18.329
11668,-8.2853,18.312
11644.1,-1.31333,18.219
11670.7,1.45431,18.312
11810.8,7.62315,18.375
11902.2,4.98897,18.313
11740.2,-8.88848,18.219
11638.9,-5.55795,18.234
11771.6,7.24027,18.328
11609.2,-8.90496,18.234
11767.7,8.64443,18.329
11918.1,8.24637,18.25
12006.5,4.82066,18.328
12028,1.17277,18.328
11876,-8.28793,18.344
11942.6,3.62868,18.375
11877.5,-3.53683,18.406
11954.5,4.17872,18.422
12132.1,9.68761,18.328
11965,-9.14017,18.281
11840.3,-6.74398,18.484
11974.4,7.32119,18.313
12005,1.66984,18.328
12116.3,6.03924,18.422
11982.8,-7.26362,18.375
12146.9,8.86408,18.516
12248.6,5.54069,18.343
12170.7,-4.22597,18.422
12180.8,0.550383,18.391
12276.6,5.21413,18.359
12278,0.0778433,18.391
12240.3,-2.05479,18.359
12279.1,2.11232,18.391
12211.9,-3.65367,18.39
12092.7,-6.4404,18.516
12208.2,6.25069,18.484
12127.9,-4.3549,18.438
12153.2,1.36987,18.453
12263.5,5.97032,18.484
12211.4,-2.81196,18.547
12228.5,0.925469,18.438
12402.9,9.43134,18.5
12406.4,0.186593,18.484
12280.6,-6.74931,18.641
12451.4,9.26567,18.437
12477.6,1.40528,18.672
12577.5,5.39898,18.5
12585.3,0.416414,18.578
12492.8,-4.98736,18.547
12556.5,3.43474,18.547
12571.8,0.826605,18.609
12524.8,-2.5415,18.5
12706.1,9.75045,18.594
12522.7,-9.881,18.563
12642,6.38716,18.672
12763.1,6.53273,18.546
12712.9,-2.70262,18.579
12739.4,1.42104,18.625
12782.6,2.31376,18.687
12898.2,6.17383,18.719
12994,5.12392,18.703
13116.3,6.55992,18.641
13148.6,1.72817,18.687
12963.7,-9.85115,18.766
12776.5,-9.99169,18.734
12788,0.614516,18.703
12767,-1.12337,18.75
12860.1,4.93677,18.86
13006.1,7.76461,18.812
12852.4,-8.18438,18.781
12780.8,-3.8299,18.703
12651.2,-6.92367,18.719
12654.4,0.172446,18.735
12831.9,9.45875,18.765
12688.1,-7.6055,18.906
12764.3,4.06803,18.735
12680.9,-4.40858,18.922
12849.7,8.95907,18.843
12931.7,4.35768,18.813
12819.4,-5.93557,18.922
12992,9.1429,18.875
12889.4,-5.43512,18.875
13008.9,6.3151,18.922
12960.8,-2.56482,18.75
12975.3,0.76641,18.968
12902.8,-3.8325,18.922
12876.2,-1.40478,18.938
12797.9,-4.12575,18.969
12646.6,-8.0365,18.828
12573.5,-3.85021,18.984
12491.2,-4.31442,19.094
12571.8,4.21849,19.125
12474.3,-5.10515,19.109
12384.1,-4.73152,19.063
12348.9,-1.8508,19.015
12210.8,-7.24798,19.047
12096.7,-5.96063,19.156
12173.6,4.00736,19.204
12202.4,1.50444,19.156
12364.5,8.51502,19.031
12373.4,0.464015,19.125
12547.6,9.1252,19.094
12411.8,-7.08722,19.156
12548.4,7.08121,19.281
12664.6,6.02889,19.282
12514.2,-7.7939,19.296
12638.7,6.49841,19.157
12631.4,-0.381203,19.234
12598.3,-1.72042,19.25
12623.5,1.31455,19.172
12713.2,4.64908,19.297
12765.5,2.70826,19.328
12883.2,6.07418,19.375
12795.4,-4.5488,19.312
12828,1.69285,19.297
12645.1,-9.45606,19.344
12709.8,3.3431,19.359
12809.4,5.1455,19.344
12997.1,9.67478,19.406
12963.6,-1.73022,19.391
13135.2,8.86039,19.375
13199,3.26884,19.516
13317.6,6.0863,19.484
13413.3,4.92282,19.438
13490.6,3.96874,19.484
13377.4,-5.80992,19.484
13338,-2.02801,19.469
13454.3,5.96886,19.5
13557.4,5.31123,19.406
13452.9,-5.37468,19.438
13475.2,1.13994,19.515
13488.8,0.694799,19.547
13360.8,-6.54142,19.563
13547.4,9.46055,19.719
13483.1,-3.27781,19.609
13433.8,-2.49847,19.703
13293.1,-7.16485,19.641
13387.1,4.78178,19.656
13255.7,-6.7027,19.609
13136.8,-6.03237,19.703
13301.8,8.31203,19.844
13457,7.81388,19.86
13560,5.14865,20.015
13669,5.45702,19.969
13760.3,4.50825,20.25
13809.4,2.44206,20.109
13682.2,-6.32656,20.094
13853.3,8.44823,20.25
13734.4,-5.87649,20.234
13731.6,-0.141193,20.219
13792.6,3.00707,20.281
13842.5,2.46469,20.266
13891.8,2.43289,20.266
13834.4,-2.81836,20.359
13743.2,-4.46818,20.422
13774.2,1.51316,20.5
13786.4,0.60186,20.359
13634.7,-9.04523,16.781
13622.4,-0.650255,18.922
13691.6,3.83245,18.078
13791.5,5.50392,18.141
13713.1,-4.31307,18.172
13844.4,7.21948,18.187
13736.1,-5.96094,18.172
13875.4,7.66137,18.188
13863.6,-0.647951,18.203
13756.2,-5.91002,18.172
